Brand Name,Grain Type,Price per Bag (Naira),City,Country,Customer Rating,Number of Reviews,Month Sold,Units Sold,Revenue,Is_Premium_Grain,Quarter Sold,Log_Units_Sold,Brand_City
Tommy Tasty,Basmati,12870.72,Kumasi,Ghana,2,137,December,969,12471727.68,1,Q4,6.877296071497429,Tommy Tasty_Kumasi
Royal Stallion,Long Grain,9771.94,Accra,Ghana,2,298,September,230,2247546.2,0,Q3,5.442417710521793,Royal Stallion_Accra
Caprice,Long Grain,15698.12,Lagos,Nigeria,2,200,April,509,7990343.08,0,Q2,6.234410725718371,Caprice_Lagos
Caprice,Basmati,12591.07,Kumasi,Ghana,3,257,April,364,4583149.4799999995,1,Q2,5.8998973535824915,Caprice_Kumasi
Sunshine,Basmati,15636.29,Kumasi,Ghana,2,219,August,351,5488337.79,1,Q3,5.863631175598097,Sunshine_Kumasi
Golden Harvest,Long Grain,15584.264000000001,Accra,Ghana,3,18,January,768,11968714.752,0,Q1,6.645090969505644,Golden Harvest_Accra
Sunshine,Long Grain,23776.28,Abuja,Nigeria,1,145,October,869,20661587.32,0,Q4,6.76849321164863,Sunshine_Abuja
Royal Stallion,Basmati,19870.3,Lagos,Nigeria,2,1,March,232,4609909.6,1,Q1,5.4510384535657,Royal Stallion_Lagos
Golden Harvest,Local,13942.97,Lagos,Nigeria,4,90,September,728,10150482.16,0,Q3,6.591673732008658,Golden Harvest_Lagos
Caprice,Basmati,14739.78,Lagos,Nigeria,3,61,March,641,9448198.98,1,Q1,6.464588303689961,Caprice_Lagos
King's Pride,Basmati,18802.21,Accra,Ghana,3,65,February,437,8216565.77,1,Q1,6.082218910376446,King's Pride_Accra
Sunshine,Long Grain,9667.98,Accra,Ghana,3,220,October,277,2678030.46,0,Q4,5.627621113690637,Sunshine_Accra
Caprice,Local,21812.24,Lagos,Nigeria,5,61,May,786,17144420.64,0,Q2,6.668228248417403,Caprice_Lagos
